build_year;shower
;0
2017;1
;1
1932;0
1986;0
1971;1
1978;
2005;0
1936;
1933;
1992;1
;
1932;
2017;1
1993;1
2019;
1955;1
;1
1931;1
;1
;1
1993;0
2008;0
2022;0
1960;1
2010;0
1944;1
2015;0
;
;0
2018;
2011;1
1954;0
2003;0
2017;0
1963;0
1959;0
2011;
2009;
1997;
1968;0
;1
2004;
1979;0
1969;1
1985;1
2011;
1992;1
;0
1987;1
;0
1976;1
1999;1
1993;1
2008;
1972;0
2014;1
2008;
1955;1
1939;1
1949;0
1967;0
1991;1
1956;0
2020;0
1957;1
;1
1940;0
2007;0
1986;1
1939;1
1997;1
;1
1953;0
1988;0
1982;1
1938;1
2016;0
1942;1
2019;
2017;0
1980;1
2012;1
;
1961;1
1949;
;0
1965;0
2017;
2010;0
;0
1984;0
1955;1
;
2016;0
1933;
1967;0
;
1955;
;
1938;1
1948;0
1953;0
1947;
;1
;0
1938;1
1985;0
;0
1989;1
1952;1
;1
;0
1939;0
1978;0
1932;
1967;
1935;1
1932;1
;0
1940;0
;1
1998;0
2001;0
1950;1
2016;0
1935;
1945;0
;0
;1
2002;
1996;0
;0
1985;1
1967;1
1985;0
;
1980;0
;1
1978;
1960;1
1981;
1996;1
2013;0
1983;0
1989;1
1982;
2010;0
1939;0
1952;1
2004;1
2003;0
;1
1953;
;
;1
;1
1943;0
;1
1976;1
1959;1
1936;
1946;1
;0
1947;
;1
1964;0
;
2019;0
1952;0
2009;1
1976;0
;0
1963;
1945;1
2010;
1981;0
2019;
1964;0
1959;0
;
1949;
1957;1
1962;0
1966;0
2011;0
1960;1
1957;
2004;
1977;
1999;
1946;1
1973;0
;1
2016;0
1980;0
;0
;0
2018;0
1973;1
1943;0
1948;0
;
1973;0
;1
2021;1
1957;1
1969;0
1948;0
;0
;1
1952;1
1970;1
;0
1959;0
2019;0
1963;1
1952;1
1983;1
1931;
1992;0
2023;1
1931;1
2000;1
1981;1
1959;0
1942;0
2012;0
1983;0
1952;0
1958;0
2001;1
;
1938;0
1957;1
2011;1
1997;1
1981;0
1938;1
;0
1961;1
2022;1
2000;0
1981;0
2017;1
1950;
1992;1
1982;0
1996;
2005;
1997;0
1995;0
1935;1
;1
1977;1
1999;0
1934;0
1978;1
2009;0
1993;
1979;0
1994;1
1993;1
;
;0
1985;
2015;0
2006;1
1995;1
1932;1
;0
;1
;1
1985;1
2009;
1961;0
1997;
1990;0
2017;0
1957;1
;0
2021;0
1994;1
1992;0
1960;0
2000;1
2000;1
;
1993;0
2016;1
1951;0
1942;0
2010;1
;0
2002;
;0
1973;1
1940;
1984;0
;0
2020;0
1943;
;
1935;0
1982;1
;1
1992;1
2002;
1997;1
1992;
2010;
2001;0
1955;0
1942;
1992;1
1975;0
1982;1
1939;0
2017;0
;
2020;1
1959;1
1953;1
1992;0
;1
1987;1
2006;
;1
1992;1
1961;1
;0
1977;1
2015;1
1954;0
1966;0
1948;0
1935;
;0
1977;1
1969;0
;1
;
1976;1
1936;1
1972;0
;0
2023;0
;
2006;
1957;0
;1
1967;0
1936;1
1934;0
1974;1
1979;
2009;0
1972;0
2007;1
;1
1947;1
1961;1
1937;1
1943;1
;1
1954;0
;
1999;1
2018;0
1940;1
1932;1
1935;1
2007;
1954;0
1945;1
1976;
1936;0
1948;0
;0
2005;1
1959;
1989;1
1971;1
;0
1968;0
1932;1
1936;1
1950;
;
1994;0
;1
1999;1
1949;0
1949;
;1
1947;1
1979;1
1955;1
1961;
1976;0
1952;0
1994;1
1977;0
1940;0
1986;0
2010;0
1935;0
;0
1972;1
2009;1
1983;1
1999;0
2023;0
1965;0
1942;
1978;1
1940;1
1971;1
2006;0
;1
1935;
;1
1937;1
1959;1
2016;
2017;1
1984;1
1994;0
2020;1
;1
2019;0
2005;
1982;0
1945;1
1944;1
1954;1
1939;0
1983;
1992;1
1973;0
2022;0
1945;
1967;
1990;0
2013;1
1932;0
1970;1
1938;1
;1
1944;0
;0
2012;0
1983;0
;0
2009;0
1983;0
;0
1975;1
2001;
1987;0
1931;0
1961;0
2008;0
;
1993;0
1951;0
1962;1
1955;0
1963;
;0
1993;
1975;
2000;
1999;0
1933;
1985;1
2014;0
1935;
1997;1
;1
;0
1959;0
1996;1
1973;
1957;1
2006;1
1992;1
1954;0
;0
1935;
2013;1
1941;0
1938;1
;0
1972;0
1937;0
2015;0
1933;
;1
;
1946;
1951;0
1950;1
;1
1997;1
2017;1
1973;1
1932;1
1985;0
2013;1
1998;1
1979;1
;0
1972;1
2019;0
1987;0
1931;1
2006;1
2022;1
;1
1987;0
1979;0
1999;0
;0
1954;0
1959;1
1941;1
2004;1
1931;0
1936;
;
2022;0
1939;
1996;0
1935;0
1981;
;1
1959;
2018;1
2003;1
1994;1
1955;
;0
1973;
1961;1
1933;1
1969;0
2018;0
1942;0
1995;1
1989;0
1957;0
2006;1
1948;0
2019;1
2019;1
1977;0
1973;1
1971;0
1935;1
1984;1
1979;0
1988;0
;0
1941;0
2017;1
1970;0
2000;1
;1
1965;0
1945;1
1936;1
;0
;0
1987;1
;0
1988;0
1983;1
;0
;1
1947;1
1945;1
2009;0
1965;1
2007;0
2014;
1950;0
1957;0
1964;0
2012;
2015;0
;
1983;0
1998;1
;
2014;0
;0
;1
2011;1
2001;0
;1
1942;0
;0
1996;1
1943;0
1972;0
2020;0
;0
1949;1
1973;
;1
2018;0
2010;1
;
1947;1
1950;0
2020;1
;
;
1939;0
;1
1939;0
;1
2023;1
;1
2019;1
;1
1999;0
;1
1944;0
1970;
2012;1
2020;0
2015;0
;0
1958;
1994;0
1967;0
1936;1
1949;
2016;1
;0
2017;0
1992;
1953;
1947;0
1967;0
1957;0
1990;0
1991;
;
1951;0
1976;0
1980;1
;1
;1
2018;0
1998;0
;1
1955;0
1961;
1983;1
;0
1986;1
2007;1
1974;0
2014;0
;0
;
1936;0
1967;0
2007;1
2021;0
1945;1
2015;0
1975;0
1984;0
;
1954;0
;0
2015;0
;1
1995;
1965;0
;1
;1
1988;
2014;1
2013;
2002;
1942;
1968;0
1964;1
1977;1
2000;
;1
1992;0
1999;0
1934;0
1948;1
;
2004;1
2002;0
1965;
1991;0
1989;0
1938;
1968;1
2000;0
1963;1
1979;1
;1
1941;0
2012;1
;0
1934;0
1975;0
;0
2004;1
;0
1939;1
1979;0
1988;
1982;0
;1
1977;1
1969;0
2012;
1942;0
1970;1
1968;1
1968;0
;1
1959;1
1991;0
;0
2001;0
1967;1
1984;1
1970;1
1955;
1955;0
1945;1
1989;0
2007;1
;0
;0
2017;0
1937;1
2000;0
2017;1
1937;0
1964;0
1993;
1996;0
;1
;1
;
1938;
1934;0
2002;1
1987;1
1985;1
2023;0
2023;1
;0
;1
1971;1
1984;0
1979;
;0
1976;1
;1
;0
1995;0
1955;1
1996;1
;0
;1
2021;1
1959;1
1959;0
1959;1
1932;
1990;1
;1
;1
2018;
1932;
1950;0
2005;1
1992;0
1980;1
1961;1
1975;0
;1
1990;
1991;0
2002;0
1956;1
;0
;1
1939;
1982;0
1959;
2013;0
1946;1
1983;1
1973;
1945;1
1974;1
2019;1
;
1954;0
2022;0
;0
2001;1
;0
1977;0
1962;
1932;1
1939;0
1980;1
2015;0
1967;0
2004;1
1979;1
;1
;1
1945;1
2023;0
2000;0
;0
2011;1
;
1966;1
1948;1
1984;1
1969;0
1991;0
1985;0
1938;1
2004;1
1936;1
1943;0
2012;1
2008;0
1996;1
1983;1
;0
;1
2004;0
1996;1
1944;0
1998;0
;0
1959;
;1
1975;1
;1
2003;0
1965;
;0
2008;0
;0
1967;0
1947;0
;0
1973;1
1948;1
1943;0
1960;1
1940;0
1989;1
1938;0
1951;1
2011;0
1947;0
;0
1983;1
1953;0
;
2000;0
1985;0
2015;1
2013;0
1939;0
2001;1
1959;1
;
1995;1
;1
2017;1
;0
;0
1984;1
1950;0
;1
1993;
1945;0
1934;1
1988;1
2017;0
2006;0
;1
;0
2016;1
;1
1935;1
1989;0
1990;1
1952;
2020;0
1940;
1993;0
1949;0
2000;
2003;
1991;
1943;0
;1
1931;1
1935;1
1976;
1938;
2023;0
2008;
1989;1
;1
1955;1
2005;
2018;0
1973;1
1937;
2007;1
1993;
1978;
1933;
1960;1
1998;1
1971;1
1961;0
1955;0
1941;1
1957;0
1990;1
1991;
;0
1974;0
1966;1
2011;1
1953;0
1999;
2009;0
1936;1
2016;1
1987;0
2013;0
2002;1
1965;0
;0
1998;0
1979;0
1983;0
1966;1
2017;
1965;0
1944;1
2019;1
;1
1994;0
1974;1
1968;1
1967;
1942;1
;1
;1
1944;1
1984;
2015;1
;0
1958;0
1957;0
2018;0
1999;0
1955;1
2009;1
1962;1
;1
;1
1999;0
1978;0
1977;0
;0
;1
2017;1
;0
;1
1938;0
2002;1
