Instcode;Unieknr;Volgnrar;Aadnstvb;Ingdatdv;Eindatdv;HOOPgeb;Functcat;WelGeenHGL;Salschal;Taakomv;Aanst_22;Peildat
DDD;100042343;3;T;20150101;99990101;DIV;10930;0;11;7500;L;20181231
DDD;100042343;3;V;20150101;99990101;DIV;10930;0;11;7500;V;20191231
DDD;100042343;3;V;20150101;99990101;DIV;10930;0;11;7500;V;20201231
DDD;100042343;3;T;20150101;99990101;DIV;10930;0;11;7500;L;20171231
DDD;100042757;1;T;20190101;99990101;RECH;21510;0;11;8000;T;20191231
DDD;100042757;1;V;20190101;99990101;RECH;21510;0;11;8000;V;20201231
DDD;100072707;1;V;20020101;99990101;DIV;30310;0;7;8000;V;20181231
DDD;100072707;1;V;20020101;99990101;DIV;30310;0;7;8000;V;20191231
DDD;100072707;1;V;20020101;99990101;DIV;30310;0;7;8000;V;20201231
DDD;100072707;1;V;20020101;99990101;DIV;30310;0;7;8000;V;20171231
DDD;100116558;5;V;20160101;99990101;T&C;10830;0;11;9000;V;20181231
DDD;100116558;5;V;20160101;99990101;T&C;10720;0;12;10000;V;20191231
DDD;100116558;5;V;20160101;99990101;T&C;10720;0;12;10000;V;20201231
DDD;100116558;5;V;20160101;99990101;T&C;10830;0;11;10000;V;20171231
DDD;100228439;1;V;20000101;99990101;G&M;70330;0;11;9000;V;20181231
DDD;100228439;1;V;20000101;99990101;G&M;70330;0;11;9000;V;20191231
DDD;100228439;1;V;20000101;99990101;G&M;70330;0;11;9000;V;20201231
DDD;100228439;1;V;20000101;99990101;G&M;70330;0;11;9000;V;20171231
DDD;100229055;3;V;20030101;99990101;T&C;10620;0;13;10000;V;20181231
DDD;100229055;3;V;20030101;99990101;T&C;10620;0;13;10000;V;20191231
DDD;100229055;3;V;20030101;99990101;T&C;10620;0;13;10000;V;20201231
DDD;100229055;3;V;20030101;99990101;T&C;10620;0;13;10000;L;20171231
DDD;100245163;3;V;20160101;99990101;T&C;10710;0;12;5000;V;20181231
DDD;100245163;3;V;20160101;99990101;T&C;10710;0;12;8000;V;20191231
DDD;100245163;3;V;20160101;99990101;T&C;10710;0;12;8000;V;20201231
DDD;100245163;3;V;20160101;99990101;T&C;10710;0;12;5000;L;20171231
DDD;100248432;1;T;20190101;99990101;DIV;30810;0;8;8000;T;20191231
DDD;100248432;1;V;20190101;99990101;DIV;30810;0;8;8000;V;20201231
DDD;100267013;1;V;20140101;99990101;NATU;30830;0;6;4500;V;20181231
DDD;100267013;2;T;20180101;99990101;NATU;30820;0;7;3000;T;20181231
DDD;100267013;1;V;20140101;99990101;NATU;30820;0;7;3000;V;20191231
DDD;100267013;1;V;20140101;99990101;NATU;30820;0;7;6000;V;20201231
DDD;100267013;1;V;20140101;99990101;NATU;30830;0;6;4500;V;20171231
DDD;100284169;1;V;20140101;99990101;RECH;90210;0;9;8000;V;20181231
DDD;100284169;1;V;20140101;99990101;RECH;90130;0;10;8000;V;20191231
DDD;100284169;1;V;20140101;99990101;RECH;90130;0;10;8000;V;20201231
DDD;100284169;1;V;20140101;99990101;RECH;90210;0;9;8000;V;20171231
DDD;100293583;1;V;20110101;99990101;NATU;21420;0;8;10000;V;20181231
DDD;100293583;1;V;20110101;99990101;NATU;21420;0;8;10000;V;20191231
DDD;100293583;1;V;20110101;99990101;NATU;21420;0;8;10000;V;20201231
DDD;100293583;1;V;20110101;99990101;NATU;21420;0;8;10000;V;20171231
DDD;100359934;1;V;20090101;99990101;DIV;30130;0;8;10000;V;20181231
DDD;100359934;1;V;20090101;99990101;DIV;30130;0;8;10000;V;20191231
