Instcode;Unieknr;Geslacht;Gebdat;Nationaliteit;BKO;SKO;Peildat
DDD;185796862;V;19730101;0001;0;0;20181231
DDD;146328351;V;19840101;0001;0;0;20181231
DDD;146336293;V;19840101;0001;0;0;20181231
DDD;146518152;V;19790101;0001;0;0;20181231
DDD;146642404;M;19580101;0001;0;0;20181231
DDD;186877705;M;19680101;0001;0;0;20181231
DDD;147123141;V;19810101;0001;0;0;20181231
DDD;186748528;V;19750101;0001;0;0;20181231
DDD;186703769;V;19630101;0001;0;0;20181231
DDD;147139562;M;19820101;0001;0;0;20181231
DDD;147578942;V;19750101;0001;0;0;20181231
DDD;147726559;V;19840101;0001;0;0;20181231
DDD;147943230;V;19800101;0001;0;0;20181231
DDD;147771382;V;19750101;0001;0;0;20181231
DDD;145635435;V;19830101;0001;0;0;20181231
DDD;185775938;V;19840101;0001;0;0;20181231
DDD;185496610;V;19870101;0001;0;0;20181231
DDD;185326382;M;19820101;0001;0;0;20181231
DDD;185103948;M;19820101;0001;0;0;20181231
DDD;147825891;V;19720101;0001;0;0;20181231
DDD;147839954;M;19610101;0001;0;0;20181231
DDD;147851633;V;19730101;0001;0;0;20181231
DDD;185097679;V;19800101;0001;0;0;20181231
DDD;184694826;M;19760101;0001;0;0;20181231
DDD;184665546;M;19750101;0001;0;0;20181231
DDD;147891777;V;19760101;0001;0;0;20181231
DDD;149810184;V;19840101;0001;0;0;20181231
DDD;147736255;M;19850101;0001;0;0;20181231
DDD;188509385;V;19830101;0001;0;0;20181231
DDD;189853559;M;19660101;0001;0;0;20181231
DDD;143222508;V;19810101;0001;0;0;20181231
DDD;143250491;V;19670101;0001;0;0;20181231
DDD;189724601;V;19670101;0001;0;0;20181231
DDD;143277138;M;19820101;0001;0;0;20181231
DDD;143325442;V;19830101;0001;0;0;20181231
DDD;143456928;V;19650101;0001;0;0;20181231
DDD;143535705;M;19780101;0001;0;0;20181231
DDD;143854798;V;19750101;0001;0;0;20181231
DDD;189191186;V;19880101;0001;0;0;20181231
DDD;143861504;V;19580101;0001;0;0;20181231
DDD;189157939;M;19660101;0001;0;0;20181231
